date,stock_price,trading_volume
2024-01-01,150.5,1200.3
2024-01-02,152.3,1350.7
2024-01-03,151.8,1120.5
2024-01-04,153.2,1480.2
2024-01-05,155.0,1600.8
2024-01-06,154.3,1420.1
2024-01-07,156.7,1780.9
2024-01-08,158.2,1920.4
2024-01-09,157.5,1650.6
2024-01-10,159.8,2100.3
2024-01-11,161.2,1980.7
2024-01-12,160.5,1850.2
2024-01-13,162.8,2230.1
2024-01-14,164.3,2450.8
2024-01-15,163.7,2310.5
2024-01-16,165.0,2670.9
2024-01-17,166.5,2890.3
2024-01-18,167.8,3120.7
2024-01-19,169.2,2980.4
2024-01-20,170.5,3240.1
2024-01-21,171.8,3560.8
2024-01-22,173.2,3780.5
2024-01-23,174.5,3920.2
2024-01-24,175.8,4100.7
2024-01-25,177.2,4280.3
2024-01-26,178.5,4450.9
2024-01-27,179.8,4620.4
2024-01-28,181.2,4780.1
2024-01-29,182.5,4950.7
2024-01-30,183.8,5120.3
